number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_units,params_learning_rate,state
0,85.025,2026-07-31 19:15:22.943219,2026-07-31 19:16:25.577548,0 days 00:01:02.634329,64,0.32958033836422196,128,0.00015789196494530832,COMPLETE
1,85.11666666666666,2026-07-31 19:16:25.577862,2026-07-31 19:17:21.277024,0 days 00:00:55.699162,128,0.2690937386266908,64,0.0004292640892944564,COMPLETE
2,86.49166666666666,2026-07-31 19:17:21.277280,2026-07-31 19:18:19.271084,0 days 00:00:57.993804,128,0.2756988941485583,128,0.0007775317944576448,COMPLETE
3,86.125,2026-07-31 19:18:19.271331,2026-07-31 19:19:43.747470,0 days 00:01:24.476139,32,0.4396145434801388,128,0.0005241028008286237,COMPLETE
4,86.05,2026-07-31 19:19:43.747714,2026-07-31 19:21:11.849118,0 days 00:01:28.101404,32,0.44264932083850184,256,0.00010685565467686573,COMPLETE
5,84.38333333333334,2026-07-31 19:21:11.849414,2026-07-31 19:22:16.544939,0 days 00:01:04.695525,64,0.19079850367896412,128,0.00751081431403992,COMPLETE
6,87.63333333333334,2026-07-31 19:22:16.545211,2026-07-31 19:23:17.659384,0 days 00:01:01.114173,128,0.18714114763673734,256,0.0009851630481391828,COMPLETE
7,87.28333333333333,2026-07-31 19:23:17.659652,2026-07-31 19:24:22.788115,0 days 00:01:05.128463,64,0.169495688442115,128,0.00041472741694938923,COMPLETE
8,86.35,2026-07-31 19:24:22.788420,2026-07-31 19:25:29.093983,0 days 00:01:06.305563,64,0.07225849499719644,128,0.006644121913351115,COMPLETE
9,86.35833333333333,2026-07-31 19:25:29.094227,2026-07-31 19:26:49.291861,0 days 00:01:20.197634,32,0.319057004964893,128,0.0017353319341934356,COMPLETE
10,87.33333333333333,2026-07-31 19:26:49.292082,2026-07-31 19:27:48.705373,0 days 00:00:59.413291,128,0.017586698441071913,256,0.002219779676461547,COMPLETE
11,87.01666666666667,2026-07-31 19:27:48.705589,2026-07-31 19:28:49.137522,0 days 00:01:00.431933,128,0.0415436572288663,256,0.0024942870019842296,COMPLETE
12,87.66666666666667,2026-07-31 19:28:49.137737,2026-07-31 19:29:47.125843,0 days 00:00:57.988106,128,0.13265903903999676,256,0.0018848536820222214,COMPLETE
13,87.375,2026-07-31 19:29:47.126059,2026-07-31 19:30:48.262161,0 days 00:01:01.136102,128,0.14250533970858048,256,0.0011970457866638245,COMPLETE
14,86.575,2026-07-31 19:30:48.262363,2026-07-31 19:31:45.412691,0 days 00:00:57.150328,128,0.14419933464458418,256,0.0041057963350843996,COMPLETE
15,86.76666666666667,2026-07-31 19:31:45.412890,2026-07-31 19:32:39.392429,0 days 00:00:53.979539,128,0.09976543950143608,64,0.001299242748585885,COMPLETE
16,86.41666666666667,2026-07-31 19:32:39.392635,2026-07-31 19:33:32.706390,0 days 00:00:53.313755,128,0.1899933510993821,256,0.000231803701911584,COMPLETE
17,86.74166666666666,2026-07-31 19:33:32.706635,2026-07-31 19:34:32.382544,0 days 00:00:59.675909,128,0.23852498825570057,256,0.003574425961876144,COMPLETE
18,87.70833333333333,2026-07-31 19:34:32.382753,2026-07-31 19:35:32.951707,0 days 00:01:00.568954,128,0.08786502727743081,256,0.0008626881131442573,COMPLETE
19,87.54166666666667,2026-07-31 19:35:32.951962,2026-07-31 19:36:58.925435,0 days 00:01:25.973473,32,0.09623463729125223,256,0.0006848367941840231,COMPLETE
